movieId,title,clean_title,genres,year
1,Toy Story (1995),Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
2,Jumanji (1995),Jumanji,Adventure|Children|Fantasy,1995
3,Grumpier Old Men (1995),Grumpier Old Men,Comedy|Romance,1995
4,Waiting to Exhale (1995),Waiting to Exhale,Comedy|Drama|Romance,1995
5,Father of the Bride Part II (1995),Father of the Bride Part II,Comedy,1995
6,Heat (1995),Heat,Action|Crime|Thriller,1995
7,Sabrina (1995),Sabrina,Comedy|Romance,1995
8,Tom and Huck (1995),Tom and Huck,Adventure|Children,1995
9,Sudden Death (1995),Sudden Death,Action,1995
10,GoldenEye (1995),GoldenEye,Action|Adventure|Thriller,1995
11,"American President, The (1995)","American President, The",Comedy|Drama|Romance,1995
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,Comedy|Horror,1995
13,Balto (1995),Balto,Adventure|Animation|Children,1995
14,Nixon (1995),Nixon,Drama,1995
15,Cutthroat Island (1995),Cutthroat Island,Action|Adventure|Romance,1995
16,Casino (1995),Casino,Crime|Drama,1995
17,Sense and Sensibility (1995),Sense and Sensibility,Drama|Romance,1995
18,Four Rooms (1995),Four Rooms,Comedy,1995
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,Comedy,1995
20,Money Train (1995),Money Train,Action|Comedy|Crime|Drama|Thriller,1995
21,Get Shorty (1995),Get Shorty,Comedy|Crime|Thriller,1995
22,Copycat (1995),Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
23,Assassins (1995),Assassins,Action|Crime|Thriller,1995
24,Powder (1995),Powder,Drama|Sci-Fi,1995
25,Leaving Las Vegas (1995),Leaving Las Vegas,Drama|Romance,1995
26,Othello (1995),Othello,Drama,1995
27,Now and Then (1995),Now and Then,Children|Drama,1995
28,Persuasion (1995),Persuasion,Drama|Romance,1995
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995
31,Dangerous Minds (1995),Dangerous Minds,Drama,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995
34,Babe (1995),Babe,Children|Drama,1995
36,Dead Man Walking (1995),Dead Man Walking,Crime|Drama,1995
38,It Takes Two (1995),It Takes Two,Children|Comedy,1995
39,Clueless (1995),Clueless,Comedy|Romance,1995
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",Drama,1995
41,Richard III (1995),Richard III,Drama|War,1995
42,Dead Presidents (1995),Dead Presidents,Action|Crime|Drama,1995
43,Restoration (1995),Restoration,Drama,1995
44,Mortal Kombat (1995),Mortal Kombat,Action|Adventure|Fantasy,1995
45,To Die For (1995),To Die For,Comedy|Drama|Thriller,1995
46,How to Make an American Quilt (1995),How to Make an American Quilt,Drama|Romance,1995
47,Seven (a.k.a. Se7en) (1995),Seven (a.k.a. Se7en),Mystery|Thriller,1995
48,Pocahontas (1995),Pocahontas,Animation|Children|Drama|Musical|Romance,1995
49,When Night Is Falling (1995),When Night Is Falling,Drama|Romance,1995
50,"Usual Suspects, The (1995)","Usual Suspects, The",Crime|Mystery|Thriller,1995
52,Mighty Aphrodite (1995),Mighty Aphrodite,Comedy|Drama|Romance,1995
53,Lamerica (1994),Lamerica,Adventure|Drama,1994
54,"Big Green, The (1995)","Big Green, The",Children|Comedy,1995
55,Georgia (1995),Georgia,Drama,1995
57,Home for the Holidays (1995),Home for the Holidays,Drama,1995
58,"Postman, The (Postino, Il) (1994)","Postman, The (Postino, Il)",Comedy|Drama|Romance,1994
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",Adventure|Children|Fantasy,1995
61,Eye for an Eye (1996),Eye for an Eye,Drama|Thriller,1996
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,Drama,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996
64,Two if by Sea (1996),Two if by Sea,Comedy|Romance,1996
65,Bio-Dome (1996),Bio-Dome,Comedy,1996
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),Comedy|Romance,1995
69,Friday (1995),Friday,Comedy,1995
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996
71,Fair Game (1995),Fair Game,Action,1995
72,Kicking and Screaming (1995),Kicking and Screaming,Comedy|Drama,1995
73,"Misérables, Les (1995)","Misérables, Les",Drama|War,1995
74,Bed of Roses (1996),Bed of Roses,Drama|Romance,1996
75,Big Bully (1996),Big Bully,Comedy|Drama,1996
76,Screamers (1995),Screamers,Action|Sci-Fi|Thriller,1995
77,Nico Icon (1995),Nico Icon,Documentary,1995
78,"Crossing Guard, The (1995)","Crossing Guard, The",Action|Crime|Drama|Thriller,1995
79,"Juror, The (1996)","Juror, The",Drama|Thriller,1996
80,"White Balloon, The (Badkonake sefid) (1995)","White Balloon, The (Badkonake sefid)",Children|Drama,1995
81,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),Comedy|Drama,1995
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,Drama|Romance,1995
85,Angels and Insects (1995),Angels and Insects,Drama|Romance,1995
86,White Squall (1996),White Squall,Action|Adventure|Drama,1996
87,Dunston Checks In (1996),Dunston Checks In,Children|Comedy,1996
88,Black Sheep (1996),Black Sheep,Comedy,1996
89,Nick of Time (1995),Nick of Time,Action|Thriller,1995
92,Mary Reilly (1996),Mary Reilly,Drama|Horror|Thriller,1996
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,Comedy|Horror|Romance,1995
94,Beautiful Girls (1996),Beautiful Girls,Comedy|Drama|Romance,1996
95,Broken Arrow (1996),Broken Arrow,Action|Adventure|Thriller,1996
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,Comedy|Drama,1995
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",Crime|Drama,1995
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,Documentary,1995
100,City Hall (1996),City Hall,Drama|Thriller,1996
101,Bottle Rocket (1996),Bottle Rocket,Adventure|Comedy|Crime|Romance,1996
102,Mr. Wrong (1996),Mr. Wrong,Comedy,1996
103,Unforgettable (1996),Unforgettable,Mystery|Sci-Fi|Thriller,1996
104,Happy Gilmore (1996),Happy Gilmore,Comedy,1996
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",Drama|Romance,1995
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994
107,Muppet Treasure Island (1996),Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996
108,Catwalk (1996),Catwalk,Documentary,1996
110,Braveheart (1995),Braveheart,Action|Drama|War,1995
111,Taxi Driver (1976),Taxi Driver,Crime|Drama|Thriller,1976
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995
113,Before and After (1996),Before and After,Drama|Mystery,1996
116,Anne Frank Remembered (1995),Anne Frank Remembered,Documentary,1995
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",Crime|Drama,1995
118,If Lucy Fell (1996),If Lucy Fell,Comedy|Romance,1996
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",Comedy,1995
121,"Boys of St. Vincent, The (1992)","Boys of St. Vincent, The",Drama,1992
122,Boomerang (1992),Boomerang,Comedy|Romance,1992
123,Chungking Express (Chung Hing sam lam) (1994),Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1994
125,Flirting With Disaster (1996),Flirting With Disaster,Comedy,1996
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",Adventure|Children|Fantasy,1994
128,Jupiter's Wife (1994),Jupiter's Wife,Documentary,1994
129,Pie in the Sky (1996),Pie in the Sky,Comedy|Romance,1996
132,Jade (1995),Jade,Thriller,1995
135,Down Periscope (1996),Down Periscope,Comedy,1996
137,Man of the Year (1995),Man of the Year,Documentary,1995
140,Up Close and Personal (1996),Up Close and Personal,Drama|Romance,1996
141,"Birdcage, The (1996)","Birdcage, The",Comedy,1996
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",Comedy,1995
145,Bad Boys (1995),Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",Adventure|Children,1995
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",Drama,1995
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",Drama,1995
149,Amateur (1994),Amateur,Crime|Drama|Thriller,1994
150,Apollo 13 (1995),Apollo 13,Adventure|Drama|IMAX,1995
151,Rob Roy (1995),Rob Roy,Action|Drama|Romance|War,1995
152,"Addiction, The (1995)","Addiction, The",Drama|Horror,1995
153,Batman Forever (1995),Batman Forever,Action|Adventure|Comedy|Crime,1995
154,Beauty of the Day (Belle de jour) (1967),Beauty of the Day (Belle de jour),Drama,1967
155,Beyond Rangoon (1995),Beyond Rangoon,Adventure|Drama|War,1995
156,Blue in the Face (1995),Blue in the Face,Comedy|Drama,1995
157,Canadian Bacon (1995),Canadian Bacon,Comedy|War,1995
158,Casper (1995),Casper,Adventure|Children,1995
159,Clockers (1995),Clockers,Crime|Drama|Mystery,1995
160,Congo (1995),Congo,Action|Adventure|Mystery|Sci-Fi,1995
